StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q39,Q40,Q41,Q42,Q43,Check1_1,Check1_2,Check1_3,Check1_4,DT_Ball_A_1,DT_Ball_B_1,DT_Disjunctive_1,Both_Thru_DT,DB_Ball_A_1,DB_Ball_B_1,DB_Disjunctive_1,Both_Thru_DB,A_DarkTop_Left_1,A_DarkTop_Right_1,B_DarkTop_Left_1,B_DarkTop_Right_1,Check2_1,Check2_2,Check2_3,Check2_4,Feedback,Age,Age_1_TEXT,Gender,Race,Race_1_TEXT,Ethnicity,LearnCondition,Condition
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Are you a bot?

 

Liam says to Emma: ""It's a beautiful day, isn't it?""
 

Who is Liam talking to? (case sensitive)","Are you a bot?

 

Mia says to Benjamin: ""It's a beautiful day, isn't it?""
 

Who is Mia talking to? (case sensitive)","Are you a bot?

 

William says to Ava: ""It's a beautiful day, isn't it?""
 

Who is William talking to? (case sensitive)","Are you a bot?

 

Amelia says to Noah: ""It's a beautiful day, isn't it?""
 

Who is Amelia talking to? (case sensitive)","Are you a bot?

 

Evelyn says to James: ""It's a beautiful day, isn't it?""
 

Who is Evelyn talking to? (case sensitive)","Please answer the following questions:

 

If both balls go through the motion block and hit ball E, ball E will go through the gate.","If only one of the balls goes through the motion block and hits ball E, ball E will go through the g",Which motion block is more likely to block a ball?,Are the dark red and the light red motion block at fixed positions (i.e. top and bottom) in the billiard machine?,"How much do you agree with the following statements?



 ""Ball A will hit Ball E"".","""Ball B will hit Ball E"".","""If only one of the two balls goes through the block and hits Ball E then Ball E will go through the gate.""",Which of the following statements better describes what has happened in this situation?,"How much do you agree with the following statements?

 

 ""Ball A will hit Ball E"".","""Ball B will hit Ball E"".","""If only one of the two balls goes through the block and hits Ball E then Ball E will go through the gate.""",Which of the following statements better describes what has happened in this situation?,"Given Ben's decision, which of these two scenes did he see?","Given Ben's decision, which of these two scenes did he see?","Given Ben's decision, which of these two scenes did he see?","Given Ben's decision, which of these two scenes did he see?","Please answer the following questions:

 

If both balls go through the gate and hit ball E, ball E will go through the gate.","If only one of the balls goes through the gate and hits ball E, ball E will go through the gate.",Which motion block is more likely to let a ball go through?,Are the dark red and the light red motion block at fixed positions (i.e. top and bottom) in the billiard machine?,"Thank you for answering these questions. 

 

What factors influenced your decision about which of the two scenes was more likely? Do you have any other comments about the experiment?","Please provide the following demographic information to complete the study. 
 

1. My age is: - Selected Choice","Please provide the following demographic information to complete the study. 
 

1. My age is: - My age in years is - Text",2. Gender,3. Race - Selected Choice,3. Race - I am - Text,Ethnicity,LearnCondition,Condition
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID59_TEXT""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID61_TEXT""}","{""ImportId"":""QID62_TEXT""}","{""ImportId"":""QID63_TEXT""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID95""}","{""ImportId"":""QID118_1""}","{""ImportId"":""QID119_1""}","{""ImportId"":""QID120_1""}","{""ImportId"":""QID122""}","{""ImportId"":""QID104_1""}","{""ImportId"":""QID110_1""}","{""ImportId"":""QID106_1""}","{""ImportId"":""QID31""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID56_1""}","{""ImportId"":""QID58_1""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID96""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID41_1_TEXT""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID43_1_TEXT""}","{""ImportId"":""QID44""}","{""ImportId"":""LearnCondition""}","{""ImportId"":""Condition""}"
2019-05-23 17:08:11,2019-05-23 17:10:53,Survey Preview,,100,162,True,2019-05-23 17:10:54,R_2DUFWUFS5TEgYJC,,,,,37.444305419921875,-122.1497039794921875,preview,EN,Emma,,,,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,62,59,62,Ball E did go through the gate because ball B did go through the motion block.,,,38,,,,,,test test,Prefer not to say.,,Prefer not to say.,Prefer not to say.,,Prefer not to say.,2,3
2019-05-23 17:33:02,2019-05-23 17:34:49,Survey Preview,,100,107,True,2019-05-23 17:34:50,R_1QnYVlrh7xLj3Pz,,,,,37.444305419921875,-122.1497039794921875,preview,EN,,,,,James,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",19,16,27,Ball E did go through the gate because ball B did go through the motion block.,,,,,,,,77,,,,,test test,Prefer not to say.,,Prefer not to say.,Prefer not to say.,,Prefer not to say.,1,4
2019-05-23 17:35:22,2019-05-23 17:37:00,Survey Preview,,100,98,True,2019-05-23 17:37:01,R_3nfsPfwXtrCQ6Fd,,,,,37.444305419921875,-122.1497039794921875,preview,EN,Emma,,,,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,18,40,33,Ball E did go through the gate because ball B did go through the motion block.,28,,,,,,,,test test,Prefer not to say.,,Prefer not to say.,Prefer not to say.,,Prefer not to say.,2,1
2019-05-23 17:59:08,2019-05-23 18:01:08,IP Address,72.220.195.220,100,119,True,2019-05-23 18:01:09,R_2ux35PPgLLzIZW7,,,,,32.7404937744140625,-117.09349822998046875,anonymous,EN,,,Ava,,,true,true,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,true,true,"The light red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,2,1
2019-05-23 18:00:13,2019-05-23 18:03:49,IP Address,73.248.218.167,100,215,True,2019-05-23 18:03:49,R_SVjAIWt6wFDHjpf,,,,,40.088104248046875,-74.11949920654296875,anonymous,EN,,,,,James,true,true,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",35,73,99,Ball E did go through the gate because ball B did go through the motion block.,,,,,,,,82,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",I assumed that he thought the same way I did about the 80 vs 20%,My age in years is,39,Female,I am,white,Non-Hispanic,1,4
2019-05-23 18:05:35,2019-05-23 18:10:38,IP Address,174.70.72.78,100,303,True,2019-05-23 18:10:39,R_1GEUU8K1dxDlO93,,,,,29.613800048828125,-82.3860015869140625,anonymous,EN,,Benjamin,,,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",91,12,100,Ball E did go through the gate because ball B did go through the motion block.,,,,,,,24,,,,,,,My age in years is,38,Female,I am,White,Non-Hispanic,1,3
2019-05-23 18:11:46,2019-05-23 18:14:27,IP Address,73.189.180.66,100,160,True,2019-05-23 18:14:27,R_3EWk7Cu1Iit6t7s,,,,,37.3303985595703125,-121.7913055419921875,anonymous,EN,,Benjamin,,,,true,false,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,,,,,,false,true,"The light red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,2,4
2019-05-23 18:04:42,2019-05-23 18:16:48,IP Address,103.110.238.167,100,725,True,2019-05-23 18:16:50,R_3ku1DmKQSszYyMl,,,,,11.350006103515625,77.733306884765625,anonymous,EN,,,,,James,true,true,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",88,56,100,Ball E did go through the gate because ball A did go through the motion block.,,,,,,,85,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.","I have focus only red dark motion block. ",My age in years is,33,Male,I am,Asian,Non-Hispanic,1,3
2019-05-23 18:12:18,2019-05-23 18:16:57,IP Address,174.60.204.226,100,278,True,2019-05-23 18:16:57,R_D13k9MRuNQmA9tT,,,,,40.2781982421875,-76.7093963623046875,anonymous,EN,,,,Noah,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",18,59,100,Ball E did go through the gate because ball B did go through the motion block.,,,,,81,,,,,,,,The lighter colored block would be less likely to deflect the ball so that ball would more likely hit ball E,My age in years is,46,Male,I am,white,Non-Hispanic,1,1
2019-05-23 18:19:26,2019-05-23 18:20:41,IP Address,73.124.103.214,100,74,True,2019-05-23 18:20:41,R_2dMxQBpxJyggNCG,,,,,25.99200439453125,-80.27020263671875,anonymous,EN,,,,Noah,,true,false,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,true,false,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,1,4
2019-05-23 18:19:37,2019-05-23 18:22:15,IP Address,171.49.182.56,100,157,True,2019-05-23 18:22:15,R_2c5G3fITS8obuKZ,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-23 18:22:18,2019-05-23 18:22:34,IP Address,157.51.96.250,100,15,True,2019-05-23 18:22:34,R_1GNuRlE5ziqmcNR,,,,,10.990997314453125,76.966705322265625,anonymous,EN,EMMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-23 18:22:44,2019-05-23 18:23:48,IP Address,157.51.96.250,100,63,True,2019-05-23 18:23:48,R_3JhmqBmOYw2P6qK,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,,,"It's a beautiful day, isn't it",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-23 18:20:18,2019-05-23 18:23:55,IP Address,75.81.189.192,100,216,True,2019-05-23 18:23:55,R_2CktXlcmRUCsVIF,,,,,32.7808074951171875,-115.5626983642578125,anonymous,EN,,,,Noah,,true,false,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,,,,,,false,true,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,1,2
2019-05-23 18:18:48,2019-05-23 18:26:43,IP Address,75.45.61.42,100,475,True,2019-05-23 18:26:44,R_27lfSTOFFlXIFRM,,,,,33.6934051513671875,-84.447998046875,anonymous,EN,,Benjamin,,,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",5,92,100,Ball E did go through the gate because ball B did go through the motion block.,,,,,,89,,,,,,,,My age in years is,29,Male,Prefer not to say.,,Non-Hispanic,1,2
