StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q39,Q40,Q41,Q42,Q43,DT1_1,DT1_2,DT1_3,DT1_4,DT1_5,DB1_1,DB1_2,DB1_3,DB1_4,DB1_5,Conj_A_DB_1,Conj_B_DB_1,Conj_DB_1,Exp_Conj_DB,Disj_A_DB_1,Disj_B_DB_1,Disj_DB_1,Exp_Disj_DB,Abnormal_B_Conj_Left_1,Abnormal_B_Con_Right_1,Conj_A_DT_1,Conj_B_DT_1,Conj_DT_1,Exp_Conj_DT,Disj_A_DT_1,Disj_B_DT_1,Disj_DT_1,Exp_Disj_DT,Abnormal_A_Conj_Left_1,Abnormal_B_Con_Righ_1,DB2_1,DB2_2,DB2_3,DB2_4,DB2_5,DT2_1,DT2_2,DT2_3,DT2_4,DT2_5,Feedback,Age,Age_1_TEXT,Gender,Race,Race_1_TEXT,Ethnicity,Condition,Structure
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Are you a bot?

 

Liam says to Emma: ""It's a beautiful day, isn't it?""
 

Who is Liam talking to? (case sensitive)","Are you a bot?

 

Mia says to Benjamin: ""It's a beautiful day, isn't it?""
 

Who is Mia talking to? (case sensitive)","Are you a bot?

 

William says to Ava: ""It's a beautiful day, isn't it?""
 

Who is William talking to? (case sensitive)","Are you a bot?

 

Amelia says to Noah: ""It's a beautiful day, isn't it?""
 

Who is Amelia talking to? (case sensitive)","Are you a bot?

 

Evelyn says to James: ""It's a beautiful day, isn't it?""
 

Who is Evelyn talking to? (case sensitive)","Please answer the following questions:

 

 

                         

In this set up, if both balls go through the motion block and hit ball E, ball E will go through the gate.","In this set up, if both balls go through the motion block and hit ball E, ball E will go through the gate.","If only one of the balls goes through the motion block and hits ball E, ball E will go through the g","In this set up, if only one of the balls goes through the motion block and hits ball E, ball E will go through the gate.",Which motion block is more likely to block a ball?,"Please answer the following questions:

 

 

                         

In this setup, if both balls go through the motion block and hit ball E, ball E will go through the gate.","In this setup, if both balls go through the motion block and hit ball E, ball E will go through the gate.","If only one of the balls goes through the motion block and hits ball E, ball E will go through the g","In this setup, if only one of the balls goes through the motion block and hits ball E, ball E will go through the gate.",Which motion block is more likely to block a ball?,"How much do you agree with the following statements?

 

 ""Ball A will hit Ball E"".","""Ball B will hit Ball E"".","""If only one of the two balls goes through the block and hits Ball E then Ball E will go through the gate.""",Which of the following statements better describes what has happened in this situation?,"How much do you agree with the following statements?

 

 ""Ball A will hit Ball E"".","""Ball B will hit Ball E"".","""If only one of the two balls goes through the block and hits Ball E then Ball E will go through the gate.""",Which of the following statements better describes what has happened in this situation?,"Given Ben's decision, which of these two scenes did he see?","Given Ben's decision, which of these two scenes did he see?","How much do you agree with the following statements?



 ""Ball A will hit Ball E"".","""Ball B will hit Ball E"".","""If only one of the two balls goes through the block and hits Ball E then Ball E will go through the gate.""",Which of the following statements better describes what has happened in this situation?,"How much do you agree with the following statements?



 ""Ball A will hit Ball E"".","""Ball B will hit Ball E"".","""If only one of the two balls goes through the block and hits Ball E then Ball E will go through the gate.""",Which of the following statements better describes what has happened in this situation?,"Given Ben's decision, which of these two scenes did he see?","Given Ben's decision, which of these two scenes did he see?","Please answer the following questions:

 




                         

In this set up, if both balls go through the motion block and hit ball E, ball E will go through the gate.","In this set up, if both balls go through the motion block and hit ball E, ball E will go through the gate.","If only one of the balls goes through the motion block and hits ball E, ball E will go through the g","In this set up, if only one of the balls goes through the motion block and hits ball E, ball E will go through the gate.",Which motion block is more likely to block a ball?,"Please answer the following questions:

 

 

                         

In this set up, if both balls go through the motion block and hit ball E, ball E will go through the gate.","In this set up, if both balls go through the motion block and hit ball E, ball E will go through the gate.","If only one of the balls goes through the motion block and hits ball E, ball E will go through the g","In this set up, if only one of the balls goes through the motion block and hits ball E, ball E will go through the gate.",Which motion block is more likely to block a ball?,"Thank you for answering these questions. 

 

What factors influenced your decision about which of the two scenes was more likely? Do you have any other comments about the experiment?","Please provide the following demographic information to complete the study. 
 

1. My age is: - Selected Choice","Please provide the following demographic information to complete the study. 
 

1. My age is: - My age in years is - Text",2. Gender,3. Race - Selected Choice,3. Race - I am - Text,Ethnicity,Condition,Structure
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID59_TEXT""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID61_TEXT""}","{""ImportId"":""QID62_TEXT""}","{""ImportId"":""QID63_TEXT""}","{""ImportId"":""QID188""}","{""ImportId"":""QID189""}","{""ImportId"":""QID190""}","{""ImportId"":""QID191""}","{""ImportId"":""QID192""}","{""ImportId"":""QID126""}","{""ImportId"":""QID127""}","{""ImportId"":""QID128""}","{""ImportId"":""QID129""}","{""ImportId"":""QID130""}","{""ImportId"":""QID139_1""}","{""ImportId"":""QID140_1""}","{""ImportId"":""QID141_1""}","{""ImportId"":""QID143""}","{""ImportId"":""QID104_1""}","{""ImportId"":""QID110_1""}","{""ImportId"":""QID106_1""}","{""ImportId"":""QID31""}","{""ImportId"":""QID56_1""}","{""ImportId"":""QID58_1""}","{""ImportId"":""QID173_1""}","{""ImportId"":""QID174_1""}","{""ImportId"":""QID175_1""}","{""ImportId"":""QID177""}","{""ImportId"":""QID179_1""}","{""ImportId"":""QID180_1""}","{""ImportId"":""QID181_1""}","{""ImportId"":""QID183""}","{""ImportId"":""QID185_1""}","{""ImportId"":""QID187_1""}","{""ImportId"":""QID132""}","{""ImportId"":""QID133""}","{""ImportId"":""QID134""}","{""ImportId"":""QID135""}","{""ImportId"":""QID136""}","{""ImportId"":""QID193""}","{""ImportId"":""QID194""}","{""ImportId"":""QID195""}","{""ImportId"":""QID196""}","{""ImportId"":""QID197""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID41_1_TEXT""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID43_1_TEXT""}","{""ImportId"":""QID44""}","{""ImportId"":""Condition""}","{""ImportId"":""Structure""}"
2019-05-28 22:57:10,2019-05-28 23:02:59,0,99.68.56.159,100,349,1,2019-05-28 23:03:00,R_1jAOjEay9HkKSSe,,,,,37.822296142578125,-83.78530120849609375,anonymous,EN,,Benjamin,,,,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,2,,,,,,,,DT,Conj_Right
2019-05-28 22:57:00,2019-05-28 23:03:30,0,162.198.201.8,100,389,1,2019-05-28 23:03:30,R_W6yKIqbmgtz7MKB,,,,,35.9152984619140625,-79.03859710693359375,anonymous,EN,,,,,James,1,2,1,2,2,,,,,,,,,,,,,,,,12,63,2,2,66,70,84,1,,89,,,,,,1,1,1,2,2,"I think if one mentions Ball E, the bottom one, then one is thinking that it was scenario B where both had to go through.  Because A is probably the more expected ball at any time.",1,43,2,1,white,2,DT,Conj_Right
2019-05-28 22:56:58,2019-05-28 23:07:37,0,208.89.33.105,100,638,1,2019-05-28 23:07:37,R_9MEcdtkh05Scrp7,,,,,40.432403564453125,-79.9246978759765625,anonymous,EN,,,,,James,,,,,,1,1,1,2,2,74,29,34,2,79,18,94,2,73,,,,,,,,,,,,,,,,,,,,,,It was based on the red blocks which made the one more culpable that went through the dark one.,1,21,2,1,white,2,DB,Conj_Left
2019-05-28 23:04:42,2019-05-28 23:10:02,0,99.75.53.174,100,320,1,2019-05-28 23:10:03,R_Rn0ZeeL7rNsl7W1,,,,,41.9777984619140625,-88.2017974853515625,anonymous,EN,,,,,James,,,,,,1,1,2,2,2,76,77,0,2,92,92,100,2,0,,,,,,,,,,,,1,1,1,2,2,,,,,,Ball B was necessary for E to make it through the gate in the left scene.,1,25,2,1,Indian,2,DB,Conj_Left
2019-05-28 23:02:00,2019-05-28 23:20:14,0,173.225.145.74,100,1093,1,2019-05-28 23:20:14,R_2cd9NN9uo17viu8,,,,,45.7364044189453125,-94.165802001953125,anonymous,EN,,,,Noah,,,,,,,1,1,1,2,2,80,20,8,1,82,20,100,1,,100,,,,,,,,,,,,,,,,,,,,,Since ball A would go through the block the easiest I felt it had more influence although both were needed in some cases to hit the ball at the same time. So it was sort of a toss up which ball was most needed. Otherwise it was basic geometry and pool table instinct whether ball E would go through the hole in certain situations.,1,62,2,1,White,2,DB,Conj_Right
2019-05-28 23:12:34,2019-05-28 23:20:20,0,24.163.13.47,100,465,1,2019-05-28 23:20:20,R_3qPVC9hYElEEldS,,,,,36.0341033935546875,-80.39620208740234375,anonymous,EN,,Benjamin,,,,,,,,,1,2,1,2,2,77,27,56,2,93,16,100,2,,96,,,,,,,,,,,1,1,1,2,2,,,,,,That Ball B did hit the target ball,1,32,1,1,Caucasian,2,DB,Conj_Right
2019-05-28 23:18:16,2019-05-28 23:22:51,0,99.100.238.66,100,275,1,2019-05-28 23:22:52,R_2tyRcPX3ETL8hrF,,,,,42.612396240234375,-83.0345001220703125,anonymous,EN,Emma,,,,,2,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,,,,,,,,DT,Conj_Left
2019-05-28 23:20:01,2019-05-28 23:31:54,0,68.100.174.128,100,712,1,2019-05-28 23:31:54,R_wRdKFazL3uk86w9,,,,,38.7769927978515625,-77.1894989013671875,anonymous,EN,,,,Noah,,,,,,,1,1,1,2,2,100,0,0,2,100,49,100,2,,100,,,,,,,,,,,,,,,,,,,,,"The farther the ball is away from the goal, the more both balls will be required.",1,24,2,1,White,2,DB,Conj_Right
